Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
bordj el bahri,Bordj El Bahri,3.0,130,5.0,0,0,0,0,0,0,0,0,2300.0
Alger plage,Bordj El Bahri,2.0,100,4.0,1,1,1,1,0,0,0,0,2300.0
Cit 412 logt cosider,Bordj El Bahri,2.0,82,3.0,1,1,1,1,0,1,0,0,4500.0
Brise marine,Bordj El Bahri,1.0,67,3.0,1,1,1,1,1,0,0,0,1720.0
Alger plage ,Bordj El Bahri,1.0,71,3.0,1,1,1,1,0,0,0,0,1700.0
Dergana,Bordj El Bahri,1.0,67,3.0,1,1,1,1,0,0,0,0,1900.0
Ben dj3ida chati,Bordj El Bahri,3.0,130,4.0,1,1,1,0,0,0,0,0,1800.0
Dergana,Bordj El Bahri,3.0,80,3.0,0,0,0,1,0,1,0,0,1650.0
alger plage,Bordj El Bahri,1.0,84,3.0,1,1,1,1,0,0,0,0,1750.0
alger palge ihddane,Bordj El Bahri,5.0,95,3.0,1,1,1,1,0,0,0,0,2500.0
Caf chergui ,Bordj El Bahri,3.0,60,3.0,1,1,1,0,0,0,0,0,3200.0
la brise,Bordj El Bahri,1.0,80,3.0,1,1,1,1,0,0,0,0,3200.0
Brise Marine,Bordj El Bahri,1.0,110,4.0,0,1,1,1,0,0,1,0,1800.0
controul tequenique ,Bordj El Bahri,2.0,90,4.0,0,0,0,1,0,1,0,0,4300.0
Ihdan,Bordj El Bahri,1.0,110,3.0,1,1,1,1,0,1,1,0,3700.0
centre ville,Bordj El Bahri,2.0,120,4.0,1,1,1,1,0,0,0,0,3300.0
Alger plage,Bordj El Bahri,5.0,80,3.0,1,1,1,1,0,0,0,0,1800.0
centre ville,Bordj El Bahri,1.0,75,3.0,1,1,1,1,0,1,0,0,3800.0
"Cit 200 Lgts Brise marine , BT 06 RDC , bordj el bahri",Bordj El Bahri,1.0,102,4.0,1,1,1,0,1,0,0,0,4400.0
azur et mer,Bordj El Bahri,4.0,116,4.0,1,1,1,0,0,0,0,0,2000.0
Cite cosider en face la mosque sonia Alger plage,Bordj El Bahri,1.0,110,4.0,1,1,1,1,0,1,0,0,3800.0
azur et mer,Bordj El Bahri,1.0,74,3.0,1,1,1,1,0,0,1,0,2900.0
alger plage,Bordj El Bahri,9.0,80,3.0,1,1,1,1,0,0,0,0,2000.0
nouvelle ville,Bordj El Bahri,1.0,75,3.0,1,1,1,1,0,1,0,1,3000.0
Cit 5 juillet alger plage,Bordj El Bahri,1.0,110,4.0,1,1,1,1,0,1,0,0,5000.0
Bordj El bahri,Bordj El Bahri,5.0,131,4.0,1,1,1,1,0,1,0,0,3000.0
alger plage,Bordj El Bahri,2.0,72,3.0,1,1,1,0,0,0,0,0,3200.0
Terre familiale,Bordj El Bahri,3.0,120,4.0,1,1,1,0,0,0,0,0,3700.0
Bris marine,Bordj El Bahri,2.0,70,3.0,1,1,1,1,0,1,0,1,3000.0
Azur et mer alger plage.,Bordj El Bahri,5.0,135,4.0,1,1,1,0,0,0,0,1,1600.0
Alger-plage centre,Bordj El Bahri,1.0,65,2.0,1,1,1,1,0,0,0,0,3700.0
La brize,Bordj El Bahri,1.0,70,3.0,1,1,1,1,0,1,0,0,2000.0
kasdi marbah,Bordj El Bahri,1.0,89,3.0,1,1,1,1,0,1,0,0,2900.0
Ct immeubles hadade,Bordj El Bahri,2.0,85,3.0,1,1,1,1,0,1,1,0,3600.0
La brize,Bordj El Bahri,2.0,70,3.0,1,1,1,1,0,1,0,0,2300.0
alger plage,Bordj El Bahri,3.0,125,4.0,1,1,1,0,0,0,0,1,3500.0
EPLF  Brise Marine ,Bordj El Bahri,1.0,110,4.0,1,1,1,1,0,0,0,0,4000.0
Brise marine ,Bordj El Bahri,1.0,105,3.0,1,1,1,1,0,0,0,0,1600.0
Cite batigec 1000 logts,Bordj El Bahri,6.0,73,3.0,1,1,1,1,0,0,0,0,3600.0
Brise marine,Bordj El Bahri,5.0,120,4.0,1,1,1,0,0,0,0,0,3200.0
brise marine,Bordj El Bahri,2.0,130,5.0,0,1,1,1,1,1,0,1,2300.0
ville,Bordj El Bahri,3.0,78,3.0,1,1,1,1,0,1,0,0,2200.0
1000 Logement les endines,Bordj El Bahri,5.0,87,4.0,1,1,1,1,0,0,0,0,3700.0
cosider,Bordj El Bahri,2.0,78,3.0,1,1,1,1,0,1,0,0,3500.0
   ,Bordj El Bahri,2.0,130,4.0,1,1,1,0,0,0,0,0,2000.0
cosider caf chergi bordj bahri ,Bordj El Bahri,2.0,130,4.0,1,1,1,0,0,0,0,0,2800.0
Brise Marine ,Bordj El Bahri,3.0,110,4.0,1,0,0,0,0,0,0,0,3000.0
Cit cosider,Bordj El Bahri,1.0,135,4.0,1,1,1,1,0,1,0,0,2300.0
Caf chergui en face la mosqu a 30 sec du tramway ,Bordj El Bahri,2.0,80,3.0,1,1,1,1,0,1,0,0,1700.0
VILLE,Bordj El Bahri,2.0,65,3.0,1,1,1,1,0,1,0,0,2800.0
Derguana ,Bordj El Bahri,1.0,75,3.0,1,1,1,1,0,0,0,0,4200.0
Ihdan,Bordj El Bahri,1.0,150,4.0,1,1,1,0,0,0,0,1,4000.0
brise marin ,Bordj El Bahri,3.0,77,3.0,1,1,1,1,0,0,1,0,3300.0
brise marin ,Bordj El Bahri,1.0,73,3.0,1,1,1,1,0,1,0,0,3900.0
Centre,Bordj El Bahri,3.0,77,3.0,1,1,1,1,0,0,0,0,3100.0
cote seam ,Bordj El Bahri,1.0,110,4.0,1,1,1,1,0,1,0,0,1800.0
Stv,Bordj El Bahri,3.0,100,3.0,1,1,1,1,0,1,0,1,2600.0
cote controul tequenique ,Bordj El Bahri,2.0,81,3.0,1,1,1,0,0,0,0,0,1100.0
bourj el bahri,Bordj El Bahri,4.0,85,4.0,0,0,0,0,0,0,0,0,3400.0
alger plage cote cafe bleu,Bordj El Bahri,1.0,125,4.0,1,1,1,0,0,0,0,1,2300.0
Dargana,Bordj El Bahri,4.0,87,3.0,1,1,1,0,0,0,0,0,2500.0
azur et mer ,Bordj El Bahri,2.0,145,4.0,1,1,1,0,0,0,0,0,2300.0
hai galoul en face MASJID ESSOUNA,Bordj El Bahri,2.0,180,5.0,1,1,1,1,0,0,0,0,2600.0
CENTRE VILLE,Bordj El Bahri,1.0,150,4.0,1,1,1,1,0,1,0,0,2700.0
 AZUR et mer,Bordj El Bahri,5.0,120,4.0,1,1,1,0,1,0,0,0,3200.0
chatie,Bordj El Bahri,3.0,130,4.0,1,1,1,1,0,0,0,0,1500.0
Azur et mer,Bordj El Bahri,4.0,90,3.0,1,1,1,1,0,1,0,0,4000.0
1000 Logement les endines,Bordj El Bahri,2.0,87,4.0,1,0,1,1,0,0,0,0,2500.0
cop amel city azur et mer boedj el bahri,Bordj El Bahri,4.0,135,4.0,1,1,1,1,0,0,0,0,1700.0
brise marine,Bordj El Bahri,1.0,127,4.0,1,1,1,1,0,0,0,0,2200.0
alger plage,Bordj El Bahri,6.0,85,3.0,1,1,1,1,0,0,0,0,1500.0
alger plage ,Bordj El Bahri,3.0,75,3.0,1,1,1,1,0,0,0,1,1300.0
La prouse,Bordj El Bahri,1.0,60,3.0,1,1,1,0,0,0,0,0,2000.0
Ct immeuble hadade ,Bordj El Bahri,2.0,120,4.0,1,1,1,1,0,1,0,0,1900.0
Alger plage ,Bordj El Bahri,6.0,100,4.0,0,0,0,1,0,0,0,1,2800.0
alger plage ,Bordj El Bahri,3.0,105,3.0,1,1,1,1,0,0,0,0,1800.0
COSIDERE,Bordj El Bahri,1.0,90,4.0,1,1,1,1,0,1,0,0,1900.0
B E B,Bordj El Bahri,2.0,120,4.0,1,1,1,1,0,1,0,0,1900.0
Centre ville,Bordj El Bahri,4.0,77,3.0,1,1,1,1,0,0,0,0,1800.0
centre  ville - cot  dispensaire,Bordj El Bahri,1.0,126,4.0,1,1,1,1,0,0,0,0,1900.0
Brise marine a cote les tours de Haddad ,Bordj El Bahri,1.0,92,4.0,1,1,1,0,0,0,0,0,1600.0
Bordj el bahri,Bordj El Bahri,3.0,67,3.0,1,1,1,0,0,0,0,0,2000.0
cafe chergui cote tram,Bordj El Bahri,2.0,120,4.0,1,1,1,1,0,1,0,0,1900.0
cote controul tequnique ,Bordj El Bahri,3.0,110,4.0,1,1,1,0,0,0,0,1,1650.0
cartie  rsidentielle ,Bordj El Bahri,6.0,75,3.0,1,1,1,0,0,0,0,0,1700.0
alger plage,Bordj El Bahri,3.0,80,3.0,1,1,1,1,0,0,1,0,2000.0
cosidar,Bordj El Bahri,3.0,75,3.0,1,1,1,0,0,0,0,0,1700.0
lpp,Bordj El Bahri,1.0,120,5.0,1,1,1,0,0,0,0,0,1500.0
Alger plage azur ET mer 24 Fev,Bordj El Bahri,2.0,100,4.0,1,1,1,1,0,1,0,0,1800.0
lA BRISE MARINE,Bordj El Bahri,3.0,103,4.0,1,1,1,1,0,1,0,1,1700.0
Alger Plage 1000 log LSP BATIGEC,Bordj El Bahri,9.0,85,4.0,1,1,1,1,0,0,1,0,2700.0
bordj el bahri,Bordj El Bahri,2.0,117,5.0,1,1,1,1,0,1,0,0,1400.0
la briz,Bordj El Bahri,6.0,105,3.0,1,1,1,1,0,1,0,0,3300.0
centre bordj el bahri,Bordj El Bahri,2.0,78,3.0,1,1,1,1,0,0,0,0,1500.0
  .alger plae (  ).,Bordj El Bahri,6.0,109,3.0,1,1,1,1,0,1,0,0,1400.0
Alger plage(SNTV),Bordj El Bahri,1.0,125,5.0,1,1,1,1,0,0,0,0,1720.0
Brise Marine,Bordj El Bahri,1.0,64,3.0,1,1,1,1,0,1,0,0,2100.0
bordj-el-bahri ,Bordj El Bahri,1.0,75,3.0,1,1,1,1,0,0,0,0,1800.0
Azur et mere (Alger Plage),Bordj El Bahri,6.0,168,5.0,1,1,1,0,0,0,0,0,2500.0
bordj-el-bahri ,Bordj El Bahri,2.0,98,3.0,1,1,1,0,0,0,0,1,1550.0
Brise marine,Bordj El Bahri,2.0,74,3.0,1,1,1,1,0,0,0,0,1850.0
la brise Marine ,Bordj El Bahri,1.0,120,5.0,1,1,1,0,0,0,0,0,2200.0
cosider,Bordj El Bahri,1.0,96,4.0,1,1,1,1,0,0,0,0,2300.0
Dergena cit sonatraque,Bordj El Bahri,5.0,150,5.0,1,1,1,0,0,0,0,0,3200.0
sonatrack,Bordj El Bahri,5.0,103,5.0,1,1,1,0,0,0,0,0,1000.0
Alger plage,Bordj El Bahri,4.0,108,3.0,1,1,1,1,0,1,0,0,3300.0
Alger plage,Bordj El Bahri,4.0,90,4.0,1,1,1,0,0,0,0,0,2500.0
alger plage,Bordj El Bahri,5.0,109,5.0,1,1,1,1,0,1,1,0,2300.0
La Brise ,Bordj El Bahri,2.0,120,4.0,1,1,1,0,0,0,0,0,1270.0
Brise marine,Bordj El Bahri,1.0,70,3.0,1,1,1,1,0,0,0,0,3000.0
Cosider ,Bordj El Bahri,5.0,110,4.0,1,1,1,0,0,0,0,0,2300.0
Cit 250 logements situe sur la RN 24,Bordj El Bahri,1.0,119,4.0,1,1,1,1,0,0,0,0,1750.0
Brise marine ,Bordj El Bahri,2.0,74,3.0,1,1,1,0,0,0,1,0,2200.0
Chabou bouj elbahrri ,Bordj El Bahri,4.0,78,3.0,1,1,1,0,0,0,0,0,1300.0
alger plage,Bordj El Bahri,3.0,120,3.0,1,1,1,0,0,0,0,0,3000.0
City 1000 lgm,Bordj El Bahri,1.0,75,3.0,1,1,1,0,0,0,0,0,1000.0
Protection civile,Bordj El Bahri,1.0,70,3.0,1,1,1,0,0,0,0,0,1900.0
rue galoul cooperative ryma,Bordj El Bahri,1.0,89,3.0,1,1,1,0,0,0,0,0,2900.0
azur et mer alger plage,Bordj El Bahri,5.0,130,4.0,1,1,1,0,0,0,0,1,2500.0
azure mere nord,Bordj El Bahri,5.0,150,4.0,1,1,1,0,0,0,1,0,2150.0
azur et mer,Bordj El Bahri,4.0,135,4.0,0,0,0,0,0,0,0,0,2500.0
cosider,Bordj El Bahri,5.0,109,4.0,1,1,1,0,0,0,0,0,2000.0
cosider alger plage ,Bordj El Bahri,2.0,70,3.0,1,1,1,0,0,0,0,0,2000.0
caf cherqui,Bordj El Bahri,1.0,100,4.0,1,1,1,0,0,0,0,0,2200.0
AZUR ET MER,Bordj El Bahri,5.0,135,4.0,0,1,1,0,0,0,1,0,2300.0
Alger-plage,Bordj El Bahri,3.0,60,3.0,1,1,1,0,0,0,0,0,1400.0
cafe chergui,Bordj El Bahri,2.0,75,3.0,1,1,1,1,0,0,0,0,1750.0
BORDJ EL BAHRI,Bordj El Bahri,3.0,138,5.0,1,1,1,0,0,0,0,0,3600.0
Brise marine,Bordj El Bahri,3.0,75,3.0,1,1,1,0,0,0,1,0,1280.0
Azur et mer nord,Bordj El Bahri,3.0,155,4.0,1,1,1,0,0,0,0,0,2900.0
cosider,Bordj El Bahri,1.0,106,4.0,1,1,1,0,0,0,0,1,2000.0
Kafe chergui,Bordj El Bahri,1.0,84,3.0,1,1,1,1,0,0,0,0,3200.0
 ,Bordj El Bahri,3.0,70,3.0,1,1,1,0,0,0,0,0,1800.0
azur et mer alger plage,Bordj El Bahri,1.0,120,4.0,1,1,1,0,0,0,0,0,2500.0
Alger plage,Bordj El Bahri,5.0,126,4.0,1,1,1,0,0,0,0,0,1200.0
Brise marine,Bordj El Bahri,1.0,105,4.0,1,1,1,0,0,0,0,0,1265.0
Centre ville de Bordj el KIffan ,Bordj El Kiffan,1.0,120,4.0,1,1,1,1,0,0,0,0,1330.0
dergana,Bordj El Kiffan,5.0,98,4.0,1,1,1,0,0,0,0,0,2000.0
Verte rive,Bordj El Kiffan,2.0,68,2.0,1,1,1,0,0,0,0,1,3200.0
Dergana cite 596 logts ( CNEP),Bordj El Kiffan,1.0,115,5.0,1,1,1,1,0,1,0,0,1400.0
Doum,Bordj El Kiffan,3.0,70,2.0,1,1,1,0,0,0,0,0,1280.0
dergena,Bordj El Kiffan,3.0,130,4.0,1,1,1,0,0,0,0,0,4500.0
DERGANA CENTRE,Bordj El Kiffan,2.0,66,3.0,1,1,1,1,0,0,0,0,1200.0
 ,Bordj El Kiffan,5.0,85,3.0,1,1,1,1,0,1,0,0,2200.0
  sntr,Bordj El Kiffan,4.0,79,3.0,1,1,1,1,0,0,0,0,3000.0
 ,Bordj El Kiffan,2.0,90,4.0,1,1,1,1,0,1,0,0,4300.0
fort de l'eau centre ,Bordj El Kiffan,1.0,120,4.0,0,0,0,0,0,0,0,0,3200.0
Vert rive,Bordj El Kiffan,3.0,65,3.0,1,1,1,1,0,1,0,0,1500.0
sntr,Bordj El Kiffan,1.0,60,2.0,1,1,1,0,0,0,0,0,2200.0
doum,Bordj El Kiffan,2.0,70,3.0,1,1,1,0,0,0,0,0,1650.0
ben merad ,Bordj El Kiffan,1.0,80,3.0,1,1,1,1,0,1,0,0,3300.0
Doum,Bordj El Kiffan,4.0,90,3.0,1,1,1,0,0,0,0,0,3200.0
for de l'eau,Bordj El Kiffan,3.0,101,3.0,1,1,1,1,0,0,0,0,2150.0
Dergana centre,Bordj El Kiffan,1.0,65,3.0,0,0,0,0,0,0,0,0,3000.0
CITE VERTE RIVE BEK ALGER,Bordj El Kiffan,4.0,83,3.0,1,1,1,0,0,0,0,0,3200.0
cite cnep,Bordj El Kiffan,1.0,100,4.0,1,0,1,1,0,1,0,0,1500.0
sonatrac,Bordj El Kiffan,2.0,139,4.0,0,1,1,1,0,1,0,0,2900.0
dergana,Bordj El Kiffan,1.0,95,4.0,1,1,1,1,0,0,0,0,2500.0
eddoum,Bordj El Kiffan,2.0,140,5.0,1,1,1,0,0,0,0,0,3200.0
Mouhousse ,Bordj El Kiffan,3.0,120,4.0,1,1,1,0,0,0,0,0,2800.0
Cite faizi,Bordj El Kiffan,3.0,45,3.0,1,1,1,1,0,1,0,0,1200.0
doum,Bordj El Kiffan,3.0,95,3.0,1,1,1,1,0,0,0,0,1270.0
Centreville,Bordj El Kiffan,2.0,99,3.0,1,1,1,1,0,1,0,1,1500.0
Vert rive,Bordj El Kiffan,5.0,82,3.0,1,1,1,0,0,0,0,0,1200.0
Cit du stade,Bordj El Kiffan,2.0,80,3.0,1,1,1,1,1,0,0,0,3900.0
Doum,Bordj El Kiffan,1.0,125,3.0,1,1,1,1,0,0,0,0,2200.0
Dargana,Bordj El Kiffan,2.0,55,2.0,1,1,1,1,0,1,0,0,2100.0
Dergana,Bordj El Kiffan,5.0,100,4.0,1,1,1,0,0,0,0,0,2500.0
Ben Redouane,Bordj El Kiffan,4.0,85,3.0,1,1,1,0,0,0,0,1,1200.0
Cite istanbul. Ledune ,Bordj El Kiffan,2.0,135,5.0,1,1,1,0,0,0,1,0,2800.0
bataux cass,Bordj El Kiffan,2.0,110,4.0,1,1,1,0,1,0,0,1,3000.0
Centre (cit saada),Bordj El Kiffan,5.0,130,5.0,1,1,1,1,0,1,0,0,2500.0
cit istanbul 04  bordj el kiffan alger ,Bordj El Kiffan,1.0,71,3.0,1,1,1,0,0,0,0,0,2300.0
cite cnep,Bordj El Kiffan,2.0,80,3.0,1,1,1,1,0,1,0,0,2400.0
clair matin ,Bordj El Kiffan,8.0,50,3.0,1,1,1,0,0,0,0,0,5000.0
Verte rive,Bordj El Kiffan,3.0,46,2.0,1,1,1,1,0,0,0,0,1900.0
Cit essaada ,Bordj El Kiffan,5.0,130,3.0,1,1,1,1,1,1,0,0,3200.0
Stanboul,Bordj El Kiffan,1.0,85,3.0,0,0,0,0,0,0,0,0,1900.0
Verte rive,Bordj El Kiffan,2.0,45,2.0,1,1,1,1,0,0,1,0,2500.0
ford de l'eau,Bordj El Kiffan,2.0,80,3.0,1,1,1,0,0,0,0,0,4300.0
Stambouli (Artisanat/Lavage),Bordj El Kiffan,2.0,75,3.0,1,1,1,0,0,0,0,0,2000.0
Dergana,Bordj El Kiffan,2.0,55,2.0,1,1,1,1,0,0,0,0,1900.0
ha Istanbul ,Bordj El Kiffan,1.0,49,2.0,1,1,1,1,0,0,0,0,2300.0
Verte rive Bordj elkifene,Bordj El Kiffan,3.0,60,2.0,1,1,1,0,0,0,0,0,1800.0
sntr ,Bordj El Kiffan,4.0,60,2.0,1,1,1,1,0,0,0,0,2300.0
vert de rive,Bordj El Kiffan,2.0,81,3.0,1,1,1,0,0,0,0,0,4700.0
ben merad ,Bordj El Kiffan,5.0,70,2.0,1,1,1,0,0,0,0,0,4500.0
El doume,Bordj El Kiffan,3.0,95,3.0,1,1,1,1,0,0,0,0,2600.0
BORJ EL KIFANE CITE DOUM ,Bordj El Kiffan,1.0,120,4.0,1,1,1,0,0,0,0,0,3600.0
SNTR ,Bordj El Kiffan,1.0,74,2.0,1,1,1,1,0,1,0,0,1600.0
sntr ,Bordj El Kiffan,2.0,70,3.0,1,1,1,1,0,1,0,0,2500.0
ben mrabet,Bordj El Kiffan,2.0,77,4.0,1,1,1,1,0,0,0,0,1970.0
bni mrade,Bordj El Kiffan,2.0,75,3.0,1,1,1,1,0,1,0,0,4800.0
cit faizi,Bordj El Kiffan,3.0,40,3.0,1,1,1,0,0,0,0,0,3600.0
La Verte Rive,Bordj El Kiffan,1.0,75,3.0,1,1,1,0,0,0,0,0,4800.0
centre,Bordj El Kiffan,2.0,80,3.0,1,1,1,1,0,1,0,1,2200.0
bordj el kiffan,Bordj El Kiffan,1.0,50,3.0,0,0,0,1,0,0,0,0,2100.0
SNTR   - les  marrons,Bordj El Kiffan,1.0,70,3.0,1,1,1,1,0,0,0,0,3300.0
Dergana  cite  diplomatique ,Bordj El Kiffan,3.0,75,3.0,1,1,1,0,0,0,1,0,1850.0
sntr ,Bordj El Kiffan,1.0,75,3.0,1,1,1,1,0,0,0,0,1800.0
Tamaris,Bordj El Kiffan,5.0,80,3.0,1,1,0,0,0,0,0,0,3000.0
 sntr- la vert et reve,Bordj El Kiffan,3.0,80,3.0,1,1,1,0,0,0,0,0,3700.0
Tram,Bordj El Kiffan,2.0,68,2.0,1,1,1,1,1,1,0,0,4000.0
Derguana.betouche.cit opepes ,Bordj El Kiffan,2.0,75,3.0,1,1,1,1,0,0,0,0,4700.0
225 Tamariss Lido,Bordj El Kiffan,4.0,79,3.0,1,1,1,1,0,0,0,0,1600.0
Bordj el kiffan,Bordj El Kiffan,3.0,90,4.0,1,1,1,0,0,0,0,0,1400.0
saada,Bordj El Kiffan,4.0,100,3.0,0,0,0,0,0,0,0,0,1800.0
Dergana,Bordj El Kiffan,2.0,114,5.0,1,1,1,1,1,1,1,1,1950.0
 ,Bordj El Kiffan,2.0,40,3.0,1,1,1,0,0,0,0,0,1900.0
DNC CNEP DERGANA ,Bordj El Kiffan,2.0,98,4.0,1,1,1,1,0,0,0,0,3000.0
cite faizi bordj el kiffan ,Bordj El Kiffan,2.0,50,3.0,1,1,1,0,0,0,0,0,2800.0
lidou,Bordj El Kiffan,2.0,145,4.0,1,1,1,1,0,0,0,0,1800.0
verte erive ,Bordj El Kiffan,4.0,75,4.0,1,1,1,1,0,0,0,0,3750.0
Dergana,Bordj El Kiffan,3.0,154,5.0,1,1,1,1,0,1,0,0,3000.0
Bordj el kiffan dergana ,Bordj El Kiffan,2.0,99,3.0,1,1,1,1,0,1,0,1,2700.0
Cite du stade,Bordj El Kiffan,1.0,68,3.0,1,1,1,1,0,0,0,0,2200.0
cite 432 logts ,Bordj El Kiffan,1.0,80,3.0,1,0,1,1,0,0,0,0,1800.0
DOUM,Bordj El Kiffan,2.0,110,3.0,1,0,1,0,0,0,0,0,4500.0
citee 216 logt,Bordj El Kiffan,3.0,84,3.0,1,1,1,0,0,0,0,0,1700.0
LA VERTE RIVE,Bordj El Kiffan,1.0,53,2.0,1,1,1,1,0,0,0,0,2300.0
centre  ville,Bordj El Kiffan,1.0,96,4.0,1,1,1,0,0,0,0,1,3000.0
faizi  -bni  mrad,Bordj El Kiffan,1.0,48,3.0,1,1,1,0,0,0,0,0,3900.0
Dergana,Bordj El Kiffan,4.0,140,5.0,1,1,1,1,0,0,0,0,3200.0
dergana,Bordj El Kiffan,2.0,70,3.0,1,1,1,0,0,0,0,0,2900.0
Verte rive,Bordj El Kiffan,1.0,64,3.0,1,1,1,0,1,0,0,0,4700.0
bordj el kiffan,Bordj El Kiffan,2.0,100,4.0,1,1,1,0,0,0,0,0,3800.0
Verte rive -bordj El-kiffan,Bordj El Kiffan,5.0,75,4.0,1,1,1,1,0,0,0,0,4040.0
Cite faizi,Bordj El Kiffan,1.0,40,3.0,1,1,1,1,0,1,0,0,1900.0
bateau casse - stambul 4,Bordj El Kiffan,1.0,120,4.0,1,1,1,0,0,0,0,0,2100.0
SNTR,Bordj El Kiffan,2.0,78,3.0,1,1,1,1,0,0,0,0,1800.0
Hai istanbul,Bordj El Kiffan,1.0,70,3.0,1,1,1,1,0,0,0,0,2400.0
VERTE RIVE,Bordj El Kiffan,3.0,100,3.0,1,1,1,0,0,0,0,0,2700.0
SALAH EDDINE EL AYOUBI,Bordj El Kiffan,1.0,44,2.0,1,1,1,1,0,0,0,0,2500.0
beni merad,Bordj El Kiffan,1.0,84,3.0,1,1,1,0,0,0,0,0,2700.0
 ,Bordj El Kiffan,1.0,90,4.0,1,1,1,1,0,0,0,0,3000.0
Bordj el bahri ,Bordj El Kiffan,2.0,72,3.0,1,1,1,0,0,0,0,0,2000.0
Lido mohammadia ,Bordj El Kiffan,1.0,70,3.0,1,1,1,1,1,0,0,0,3500.0
 ,Bordj El Kiffan,1.0,75,3.0,1,1,1,0,0,0,0,0,3000.0
cit istambul,Bordj El Kiffan,1.0,71,3.0,1,1,1,1,0,0,0,0,1100.0
for de lue,Bordj El Kiffan,1.0,125,4.0,1,1,1,1,0,0,0,0,2500.0
DERGANA,Bordj El Kiffan,1.0,90,4.0,1,1,1,0,0,0,0,0,2000.0
difa el khadra,Bordj El Kiffan,2.0,80,3.0,1,1,1,0,0,0,0,0,1700.0
dergana,Bordj El Kiffan,2.0,83,3.0,1,1,1,1,0,1,0,0,2800.0
Cit faizi bordj el kiffan alger,Bordj El Kiffan,1.0,40,3.0,1,1,1,1,0,0,0,0,2700.0
Bordj el kiffan,Bordj El Kiffan,2.0,80,3.0,1,1,1,0,0,0,1,1,3000.0
cit faizi prs du tram,Bordj El Kiffan,5.0,31,2.0,1,1,1,1,0,0,0,0,4000.0
residence saada,Bordj El Kiffan,3.0,101,3.0,0,0,0,1,0,0,0,0,3700.0
550690426 bek ,Bordj El Kiffan,4.0,45,2.0,0,0,0,1,0,0,0,0,1900.0
sorecal,Bordj El Kiffan,5.0,100,4.0,1,1,1,0,0,0,0,0,2300.0
Cit 8 mai 1945 (Cnep) ,Bordj El Kiffan,4.0,74,3.0,1,1,1,0,0,0,0,0,2800.0
centre ,Bordj El Kiffan,1.0,100,4.0,1,1,1,1,0,1,0,1,4500.0
bek  550690426,Bordj El Kiffan,3.0,100,3.0,1,1,1,0,0,0,0,0,2200.0
Cit 150 logements btiment 14  la verte rive ct SNTR. BEK Alger,Bordj El Kiffan,4.0,75,3.0,1,1,1,0,0,0,0,0,2350.0
Rue Touati mouloud,Bordj El Kiffan,1.0,74,3.0,1,1,1,1,0,1,0,1,1900.0
La station ,Bordj El Kiffan,1.0,85,3.0,1,1,1,0,1,0,0,0,2200.0
Sntr,Bordj El Kiffan,1.0,65,3.0,1,1,1,0,1,0,0,0,2900.0
Dergana,Bordj El Kiffan,3.0,80,3.0,1,1,1,1,0,0,0,0,3100.0
Verte Rive.Bordj El Kiffan.,Bordj El Kiffan,2.0,74,3.0,1,1,1,0,0,1,0,0,2600.0
     ,Bordj El Kiffan,4.0,50,2.0,0,1,1,0,0,1,1,0,1800.0
La Verte Rive,Bordj El Kiffan,1.0,75,3.0,1,1,1,0,0,0,0,0,3500.0
Cit diplomatique Bts 33A N 3 - Dergana ,Bordj El Kiffan,1.0,67,3.0,1,1,1,1,0,0,0,0,2200.0
DERGANA CITE COSIDER EN FACE TERMINISE DE TRAMWAY ,Bordj El Kiffan,5.0,91,3.0,1,1,1,0,0,0,0,0,2900.0
     ,Bordj El Kiffan,4.0,66,2.0,1,1,1,0,0,0,0,0,4000.0
Abbane Remdan,Bordj El Kiffan,2.0,90,3.0,1,1,1,0,0,0,0,0,2300.0
"Cite 526 Logement, Dergana",Bordj El Kiffan,2.0,117,5.0,1,1,1,0,1,0,0,0,2000.0
cit faizi    ,Bordj El Kiffan,5.0,40,3.0,1,1,1,0,0,0,0,0,3700.0
Cit clair-matin,Bordj El Kiffan,4.0,54,2.0,1,1,1,0,0,0,0,0,3500.0
bourouba bach djarah,Bourouba,1.0,30,2.0,1,1,1,0,0,0,0,0,4800.0
Bourouba ,Bourouba,3.0,140,4.0,1,1,1,1,0,0,0,1,2800.0
200 log,Bourouba,4.0,42,2.0,1,1,1,1,0,1,0,0,3250.0
  PLM,Bourouba,1.0,49,4.0,1,1,1,1,0,0,0,0,4200.0
BOUROUBA,Bourouba,1.0,123,4.0,1,1,0,1,1,1,0,1,2100.0
EGICO,Bourouba,1.0,80,3.0,1,1,1,1,1,1,0,0,2500.0
Hai el Fida Plm,Bourouba,1.0,72,4.0,1,1,1,0,0,0,0,0,2000.0
rsidentielle  ,Bouzareah,3.0,84,3.0,1,1,1,1,1,0,0,0,2200.0
BOUHAMAM,Bouzareah,2.0,120,5.0,1,1,1,1,0,1,0,0,2100.0
Vincent,Bouzareah,1.0,108,3.0,1,1,1,1,0,0,0,0,2200.0
amara,Bouzareah,3.0,55,2.0,1,1,1,1,0,0,0,0,3300.0
Carnot,Bouzareah,1.0,108,4.0,1,1,1,1,0,1,0,1,2100.0
Chevalley- Cit Police,Bouzareah,2.0,80,4.0,1,1,1,1,0,0,0,0,2100.0
